epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,918.318,0.87195,0.76559,1.01009,0.55739,0.5255,0.54611,0.41081,1.00871,1.01953,1.09372,0.000347742,0.000347742,0.000347742
85,929.147,0.86559,0.75277,1.00129,0.57365,0.50401,0.52763,0.40228,1.01294,1.03348,1.09902,0.000342666,0.000342666,0.000342666
86,939.976,0.86466,0.74351,0.99891,0.57274,0.54546,0.54312,0.41406,1.01139,1.04728,1.09707,0.000337591,0.000337591,0.000337591
87,950.819,0.85846,0.74077,1.00336,0.59021,0.52704,0.54339,0.41122,1.0002,1.01641,1.09418,0.000332516,0.000332516,0.000332516
88,961.671,0.86652,0.74729,1.00734,0.53519,0.53788,0.54171,0.41109,1.00373,1.029,1.09862,0.00032744,0.00032744,0.00032744
89,972.566,0.85008,0.73723,0.99667,0.58443,0.53502,0.55173,0.41984,1.00559,1.01749,1.09166,0.000322365,0.000322365,0.000322365
90,983.519,0.85419,0.7325,1.00075,0.58514,0.51919,0.54287,0.41207,1.01203,1.02828,1.10014,0.000317289,0.000317289,0.000317289
91,994.394,0.84301,0.72095,0.99199,0.54747,0.5374,0.54875,0.42179,1.00656,1.0024,1.09224,0.000312214,0.000312214,0.000312214
92,1005.29,0.87141,0.75113,1.00583,0.55699,0.55597,0.55064,0.4216,1.00926,1.02474,1.09777,0.000307139,0.000307139,0.000307139
93,1016.16,0.85314,0.7288,0.99644,0.60459,0.51122,0.53864,0.40927,1.00475,1.01086,1.09445,0.000302063,0.000302063,0.000302063
94,1026.99,0.84915,0.73236,0.99795,0.57088,0.5325,0.53651,0.40973,1.00447,1.03795,1.09554,0.000296988,0.000296988,0.000296988
95,1037.87,0.84938,0.7225,0.99587,0.57445,0.58863,0.56225,0.42772,1.00944,0.99537,1.10168,0.000291912,0.000291912,0.000291912
96,1048.91,0.84393,0.72258,0.99501,0.56607,0.54836,0.54972,0.41583,1.01181,1.00526,1.09775,0.000286837,0.000286837,0.000286837
97,1059.95,0.83753,0.71277,0.99145,0.56265,0.54777,0.54181,0.40987,1.00688,1.02385,1.09635,0.000281762,0.000281762,0.000281762
98,1070.83,0.84784,0.71963,1.00037,0.58824,0.5455,0.55071,0.42362,0.99614,1.00741,1.09475,0.000276686,0.000276686,0.000276686
