epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,839.583,0.92384,0.81585,1.02372,0.5606,0.53414,0.53751,0.39954,1.00486,1.02379,1.09178,0.000403571,0.000403571,0.000403571
74,851.022,0.91,0.81464,1.02501,0.58164,0.51171,0.53989,0.40371,0.99791,1.00475,1.08922,0.000398496,0.000398496,0.000398496
75,862.266,0.90985,0.81773,1.02257,0.54721,0.5615,0.54433,0.40514,1.01236,1.02747,1.08765,0.00039342,0.00039342,0.00039342
76,873.688,0.92867,0.81327,1.02611,0.5523,0.54419,0.53802,0.40214,0.99592,1.02437,1.09078,0.000388345,0.000388345,0.000388345
77,885.094,0.9022,0.79997,1.02071,0.60178,0.51824,0.53761,0.405,1.00476,1.02273,1.0859,0.00038327,0.00038327,0.00038327
78,896.735,0.90437,0.8008,1.01951,0.57608,0.53776,0.53823,0.40558,1.00587,1.01509,1.08569,0.000378194,0.000378194,0.000378194
79,908.224,0.90733,0.8074,1.0236,0.54699,0.55165,0.53288,0.3983,1.01443,1.021,1.09452,0.000373119,0.000373119,0.000373119
80,919.815,0.89749,0.78646,1.01806,0.59712,0.50207,0.53618,0.40509,1.01061,1.02312,1.09665,0.000368043,0.000368043,0.000368043
81,931.163,0.89542,0.79172,1.01707,0.57736,0.50391,0.53842,0.40195,1.01999,1.03552,1.0924,0.000362968,0.000362968,0.000362968
82,942.723,0.89978,0.78492,1.01964,0.5402,0.52665,0.53618,0.40431,1.00798,1.01991,1.09231,0.000357893,0.000357893,0.000357893
83,954.411,0.88244,0.77348,1.01515,0.63007,0.50254,0.53428,0.40449,1.00436,1.02623,1.08951,0.000352817,0.000352817,0.000352817
84,965.814,0.88356,0.78009,1.0152,0.53022,0.52907,0.52453,0.39864,1.00678,1.03051,1.08988,0.000347742,0.000347742,0.000347742
